name,category,priority,phone,email,address,status,value,source,gmaps,notes,addedDate
"Garcia's","Restaurant / Food","medium","(512) 353-0099","","403 S L B J Dr, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=16002393834510198091","Rating: 4.3 (1555 reviews)","2026-05-20T01:13:18.393Z"
"Texas State Dining","Restaurant / Food","medium","(512) 245-9930","","700 Moore St, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=1858085829933895324","Rating: 3.2 (17 reviews)","2026-05-20T01:13:30.011Z"
"Mana's Restaurant","Restaurant / Food","medium","(512) 392-4068","","807 Alabama St, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=17678479162928903000","Rating: 4.5 (509 reviews)","2026-05-20T01:13:30.578Z"
"Showdown","Restaurant / Food","medium","(512) 392-7282","","207 E Hutchison St, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=12055411424681278830","Rating: 4.6 (471 reviews)","2026-05-20T01:13:32.732Z"
"Babe's Doughnut and Coffee","Restaurant / Food","medium","(512) 216-6217","","214 N LBJ Dr, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=14324276044297345452","Rating: 4.7 (188 reviews)","2026-05-20T01:13:48.510Z"
"The Sweet Spot","Restaurant / Food","medium","(512) 214-8084","","232 N LBJ Dr, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=6368292969887561834","Rating: 4.2 (118 reviews)","2026-05-20T01:13:49.053Z"
"The Native Blends","Restaurant / Food","medium","(512) 210-2979","","309 N Edward Gary St, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=10256769293685078599","Rating: 4.8 (190 reviews)","2026-05-20T01:13:49.313Z"
"Cafe Cortado","Restaurant / Food","medium","(512) 289-3674","","221 North St, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=6286641916007702063","Rating: 4.8 (99 reviews)","2026-05-20T01:13:49.863Z"
"Campus Coffee & Tea Co","Restaurant / Food","medium","","","601 University Dr, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=6320399381342344454","Rating: 4 (1 reviews)","2026-05-20T01:13:50.402Z"
"Coco Loco Brew","Restaurant / Food","medium","(512) 357-7385","","801 Chestnut St, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=15672593187785084002","","2026-05-20T01:13:51.465Z"
"On The Grind","Restaurant / Food","medium","","","1508 Aquarena Springs Dr, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=4821964023373256679","Rating: 4.7 (329 reviews)","2026-05-20T01:13:55.995Z"
"Starbucks Coffee Company","Restaurant / Food","medium","(737) 225-3017","","1430 I-35, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=14869512556496255149","Rating: 3.6 (84 reviews)","2026-05-20T01:13:57.064Z"
"Speed In Food Mart","Restaurant / Food","medium","(512) 504-3366","","102 Creekside Trail, Kyle, TX 78640, USA","new","","Google Places API","https://maps.google.com/?cid=3877522839052192096","Rating: 4.1 (127 reviews)","2026-05-20T01:14:00.647Z"
"Doria's Cakes","Restaurant / Food","medium","(512) 557-4398","","18229 San Marcos Hwy, Martindale, TX 78655, USA","new","","Google Places API","https://maps.google.com/?cid=17754226706054030574","Rating: 4.2 (22 reviews)","2026-05-20T01:14:01.567Z"
"City Bakery","Restaurant / Food","medium","(512) 353-2489","","410 S L B J Dr, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=5292000679974368114","Rating: 4.1 (79 reviews)","2026-05-20T01:14:03.465Z"
"H-E-B Bakery","Restaurant / Food","medium","","","200 W Hopkins St, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=13880940201299459490","Rating: 5 (1 reviews)","2026-05-20T01:14:06.583Z"
"Cheers Donuts","Restaurant / Food","medium","(512) 667-6750","","1300 TX-123 #101, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=15070590068576993245","Rating: 4.7 (175 reviews)","2026-05-20T01:14:07.384Z"
"Boston Bakery Co.","Restaurant / Food","medium","","","201 Telluride St, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=15343702028279207272","","2026-05-20T01:14:09.047Z"
"Kyle Donuts","Restaurant / Food","medium","(512) 268-7800","","575 Ranch to Market Rd 150, Kyle, TX 78640, USA","new","","Google Places API","https://maps.google.com/?cid=13691160792174818075","Rating: 4.7 (389 reviews)","2026-05-20T01:14:14.201Z"
"Pakistani Box Lunches","Restaurant / Food","medium","","","178 Coleto Crk Lp, Kyle, TX 78640, USA","new","","Google Places API","https://maps.google.com/?cid=10927671581261789956","","2026-05-20T01:14:14.460Z"
"Holly's Sweets & Treats","Restaurant / Food","medium","(737) 248-5651","","394 McGarity, Kyle, TX 78640, USA","new","","Google Places API","https://maps.google.com/?cid=2865545957974737422","Rating: 5 (1 reviews)","2026-05-20T01:14:15.541Z"
"Los Vega Mexican Restaurant","Restaurant / Food","medium","(512) 268-8570","","721 N Old Hwy 81, Kyle, TX 78640, USA","new","","Google Places API","https://maps.google.com/?cid=10428367050328475033","Rating: 4.6 (9 reviews)","2026-05-20T01:14:22.061Z"
"The Lair","Restaurant / Food","medium","(512) 245-9930","","109 Student Center Dr, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=12081107710336167470","Rating: 4.1 (11 reviews)","2026-05-20T01:14:22.861Z"
"Pat's Carnival Eats and Treats","Restaurant / Food","medium","","","1001 TX-80, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=9781480990294643415","Rating: 5 (1 reviews)","2026-05-20T01:14:28.446Z"
"Oompa Lumpia","Restaurant / Food","medium","(512) 808-0115","","1192 Twin Cove, Kyle, TX 78640, USA","new","","Google Places API","https://maps.google.com/?cid=7314543093681210015","Rating: 5 (6 reviews)","2026-05-20T01:14:31.922Z"
"Angel Ventana","Hair Salon / Barbershop","medium","(512) 393-1707","","700 N LBJ Dr, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=14636211673734036582","Rating: 4.9 (100 reviews)","2026-05-20T01:14:35.562Z"
"Full Effect Lice Removal: San Marcos, Tx","Hair Salon / Barbershop","medium","","","1904 Old Ranch Rd 12 #103, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=14196567448421087145","Rating: 5 (4 reviews)","2026-05-20T01:14:36.111Z"
"Wavelength Extension Studio","Hair Salon / Barbershop","medium","(512) 636-8969","","139 Steeple Brush Cove, Kyle, TX 78640, USA","new","","Google Places API","https://maps.google.com/?cid=11479362927452485132","Rating: 5 (1 reviews)","2026-05-20T01:14:37.453Z"
"Solutions","Hair Salon / Barbershop","medium","(512) 754-0300","","317 N Fredericksburg St, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=1057278634638342412","Rating: 4.4 (53 reviews)","2026-05-20T01:14:41.407Z"
"Sophia Hair Salon","Hair Salon / Barbershop","medium","(737) 268-1487","","2101 River Rd, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=16956204009275069866","Rating: 4.2 (124 reviews)","2026-05-20T01:14:42.196Z"
"Silva's","Hair Salon / Barbershop","medium","(512) 392-3050","","1138 Invasion St c, San Marcos, TX 78666, USA","new","","Google Places API","https://maps.google.com/?cid=10007677062337454149","Rating: 4.6 (103 reviews)","2026-05-20T01:14:42.676Z"
